food_key,name,category,calories_kcal,protein_g,carbs_g,fat_g,sugar_g,fiber_g,sodium_mg
haddock_raw,"Haddock, Raw",fish_seafood,74.0,16.3,0.0,0.45,,,213.0
pollock_raw,"Pollock, Raw",fish_seafood,56.0,12.3,0.0,0.41,,,333.0
tuna_canned,"Tuna, Canned in Water",fish_seafood,90.0,19.0,0.08,0.94,0.0,,219.0
granulated_sugar,Granulated Sugar,snacks,385.0,0.0,99.6,0.32,99.8,,1.0
sweet_sour_pork,Sweet and Sour Pork (Chinese),restaurant_foods,260.0,8.88,25.5,13.6,10.3,1.0,304.0
fried_rice_chinese,"Fried Rice, No Meat (Chinese)",restaurant_foods,174.0,3.84,32.5,3.19,0.62,,361.0
pork_tamale,Pork Tamale (Latino),restaurant_foods,174.0,7.38,15.8,9.04,0.46,2.4,473.0
bean_pupusas,Bean Pupusas (Latino),restaurant_foods,229.0,5.59,31.5,9.01,1.3,5.8,305.0
beef_top_loin_steak,"Beef Top Loin Steak, Raw",beef,155.0,22.8,0.0,6.39,,,45.0
beef_tenderloin_roasted,"Beef Tenderloin, Roasted",beef,176.0,27.7,0.0,6.36,,,54.0
beef_eye_round_raw,"Beef Eye of Round Roast, Raw",beef,122.0,23.4,0.0,2.48,,,50.0
beef_top_round_raw,"Beef Top Round Roast, Raw",beef,123.0,23.7,0.0,2.41,,,55.0
tbone_steak_grilled,"T-Bone Steak, Grilled",beef,219.0,27.3,0.0,11.4,,,67.0
porterhouse_steak,"Porterhouse Steak, Raw",beef,145.0,22.7,0.0,5.32,,,43.0
whole_wheat_bread,Whole Wheat Bread,baked_goods,254.0,12.3,43.1,3.55,4.41,6.0,450.0
ham_restaurant,"Ham, Sliced (Restaurant)",grains_pasta,121.0,19.6,2.36,3.68,2.2,,1030.0
american_cheese_restaurant,American Cheese (Restaurant),dairy_eggs,375.0,17.5,6.35,31.1,3.76,,1600.0
ketchup,Ketchup,vegetables,117.0,1.11,26.8,0.55,21.8,,949.0
large_egg_white,Large Egg White,dairy_eggs,55.0,10.7,2.36,0.0,,,
large_egg_yolk,Large Egg Yolk,dairy_eggs,334.0,16.2,1.02,28.8,,,
large_egg_whole,"Large Egg, Whole",dairy_eggs,148.0,12.4,0.96,9.96,0.2,0.0,129.0
bacon_cooked,"Bacon, Cooked",grains_pasta,500.0,40.9,2.1,36.5,3.14,,1830.0
flour_ap_bleached,"All-Purpose Flour, Bleached",cereals_breakfast,366.0,10.9,77.3,1.48,,,2.0
flour_ap_unbleached,"All-Purpose Flour, Unbleached",cereals_breakfast,358.0,13.1,73.2,1.48,,,4.0
flour_ap_unenriched,"All-Purpose Flour, Unenriched",cereals_breakfast,362.0,12.0,74.6,1.7,,3.0,2.0
flour_whole_wheat,Whole Wheat Flour,cereals_breakfast,370.0,15.1,71.2,2.73,,10.6,3.0
flour_bread_white,"Bread Flour, White",cereals_breakfast,363.0,14.3,72.8,1.65,,,3.0
flour_rice_white,"Rice Flour, White",cereals_breakfast,359.0,6.94,79.8,1.3,,0.5,5.0
flour_corn_yellow,"Corn Flour, Yellow",cereals_breakfast,364.0,6.2,80.8,1.74,1.04,4.3,0.0
red_onion_raw,"Red Onion, Raw",vegetables,44.0,0.94,9.93,0.1,5.76,2.2,1.0
yellow_onion_raw,"Yellow Onion, Raw",vegetables,38.0,0.83,8.61,0.05,5.82,1.9,1.0
banana_overripe,"Banana, Overripe",fruits,85.0,0.73,20.1,0.22,,1.7,
banana_ripe,"Banana, Ripe",fruits,97.0,0.74,23.0,0.29,,1.7,0.0
garlic_raw,"Garlic, Raw",vegetables,143.0,6.62,28.2,0.38,,2.7,
flour_soy_defatted,"Soy Flour, Defatted",legumes_beans,366.0,51.1,32.9,3.33,,,2.0
flour_soy_full_fat,"Soy Flour, Full-Fat",legumes_beans,452.0,38.6,27.9,20.7,,,2.0
flour_rice_brown,Brown Rice Flour,cereals_breakfast,365.25,7.19,75.5,3.85,,,1.0
flour_rice_glutinous,Glutinous Rice Flour,cereals_breakfast,358.0,6.69,80.1,1.16,,,6.0
flour_pastry,Pastry Flour,cereals_breakfast,358.0,8.75,77.2,1.64,,,1.0
white_onion_raw,"White Onion, Raw",vegetables,35.0,0.89,7.68,0.13,5.76,1.2,2.0
apple_red_delicious,"Apple, Red Delicious",fruits,62.0,0.19,14.8,0.21,11.1,2.0,0.0
apple_honeycrisp,"Apple, Honeycrisp",fruits,60.0,0.1,14.7,0.1,11.7,1.7,0.0
apple_granny_smith,"Apple, Granny Smith",fruits,59.0,0.27,14.2,0.14,10.5,2.5,0.0
apple_gala,"Apple, Gala",fruits,61.0,0.13,14.8,0.15,11.3,2.1,0.0
apple_fuji,"Apple, Fuji",fruits,65.0,0.15,15.7,0.16,12.6,2.1,1.0
grilled_fish,Grilled Fish,fish_seafood,180,26,0,8,0,0,120
salmon_grilled,Grilled Salmon,fish_seafood,206,22,0,12,0,0,59
tilapia_grilled,Grilled Tilapia,fish_seafood,128,26,0,2.7,0,0,56
shrimp_cooked,Cooked Shrimp,fish_seafood,99,24,0.2,0.3,0,0,111
sardines_canned,Canned Sardines,fish_seafood,208,25,0,11.5,0,0,505
fish_fried,Fried Fish,fish_seafood,232,18,8,14,0.5,0.5,350
fish_baked,Baked Fish,fish_seafood,150,25,0,5,0,0,90
cod_baked,Baked Cod,fish_seafood,105,23,0,0.9,0,0,89
sea_bass_grilled,Grilled Sea Bass,fish_seafood,124,23.6,0,2.6,0,0,70
calamari_fried,Fried Calamari,fish_seafood,175,15,12,8,0.5,0.5,380
chicken_breast_grilled,Grilled Chicken Breast,meat_poultry,165,31,0,3.6,0,0,74
chicken_fried,Fried Chicken,meat_poultry,246,23,8,14,0.2,0.3,450
chicken_shawarma,Chicken Shawarma,mixed_meals,215,17,18,9,2,1.5,480
